iter	Passed	Remaining
0	2	2455
1	4	2256
2	6	2096
3	8	2014
4	10	2041
5	12	2033
6	14	2013
7	16	1986
8	17	1955
9	19	1957
10	21	1968
11	23	1968
12	26	1974
13	28	1972
14	29	1969
15	31	1954
16	33	1938
17	35	1929
18	37	1934
19	39	1917
20	40	1904
21	42	1901
22	44	1895
23	46	1885
24	48	1881
25	49	1869
26	51	1864
27	53	1862
28	55	1853
29	57	1849
30	59	1849
31	61	1847
32	62	1843
33	64	1842
34	66	1835
35	68	1833
36	70	1830
37	72	1828
38	74	1824
39	75	1823
40	78	1825
41	79	1821
42	81	1818
43	83	1810
44	84	1802
45	86	1798
46	88	1796
47	90	1791
48	92	1788
49	94	1787
50	95	1782
51	97	1778
52	99	1774
53	101	1773
54	102	1768
55	104	1762
56	106	1756
57	108	1755
58	109	1750
59	111	1746
60	113	1743
61	115	1742
62	116	1739
63	118	1737
64	120	1733
65	122	1734
66	124	1733
67	126	1732
68	128	1733
69	130	1733
70	132	1736
71	134	1733
72	136	1728
73	137	1726
74	139	1722
75	141	1720
76	143	1719
77	145	1715
78	147	1714
79	148	1712
80	150	1710
81	152	1712
82	154	1711
83	157	1713
84	159	1712
85	160	1709
86	163	1711
87	164	1708
88	166	1705
89	168	1702
90	170	1700
91	172	1699
92	174	1698
93	176	1699
94	178	1696
95	179	1694
96	181	1691
97	183	1689
98	185	1686
99	187	1684
100	189	1682
101	191	1682
102	192	1679
103	194	1678
104	196	1676
105	198	1675
106	200	1672
107	202	1668
108	203	1667
109	206	1667
110	208	1665
111	209	1664
112	211	1663
113	213	1660
114	215	1658
115	217	1656
116	219	1654
117	221	1653
118	223	1654
119	225	1652
120	227	1649
121	229	1648
122	230	1645
123	232	1644
124	234	1641
125	236	1639
126	238	1640
127	240	1638
128	242	1637
129	244	1635
130	246	1633
131	248	1631
132	249	1628
133	252	1629
134	254	1628
135	256	1626
136	258	1626
137	260	1624
138	261	1622
139	263	1619
140	265	1616
141	267	1614
142	268	1611
143	270	1609
144	272	1607
145	274	1605
146	276	1602
147	277	1599
148	279	1597
149	281	1594
150	283	1591
151	284	1588
152	286	1588
153	289	1587
154	290	1585
155	292	1583
156	294	1581
157	296	1579
158	297	1576
159	299	1574
160	301	1571
161	303	1570
162	305	1568
163	307	1566
164	309	1564
165	310	1561
166	312	1560
167	314	1559
168	316	1558
169	319	1558
170	321	1558
171	323	1557
172	325	1557
173	327	1555
174	329	1552
175	330	1549
176	332	1547
177	334	1544
178	336	1544
179	338	1542
180	340	1540
181	342	1538
182	344	1536
183	346	1534
184	347	1532
185	349	1530
186	351	1529
187	353	1528
188	355	1526
189	357	1524
190	359	1522
191	361	1519
192	362	1517
193	364	1514
194	366	1513
195	368	1512
196	370	1511
197	372	1509
198	374	1507
199	376	1505
200	378	1503
201	380	1501
202	382	1500
203	383	1497
204	385	1496
205	387	1495
206	389	1493
207	391	1491
208	393	1488
209	395	1486
210	397	1484
211	398	1482
212	400	1481
213	403	1480
214	404	1478
215	406	1476
216	408	1475
217	410	1473
218	412	1471
219	414	1468
220	416	1466
221	418	1465
222	419	1463
223	422	1461
224	423	1460
225	425	1458
226	427	1455
227	429	1454
228	431	1452
229	433	1450
230	435	1448
231	437	1447
232	438	1444
233	440	1442
234	442	1440
235	444	1438
236	446	1436
237	448	1434
238	449	1432
239	451	1430
240	453	1429
241	455	1427
242	457	1425
243	459	1423
244	461	1421
245	463	1419
246	464	1417
247	466	1416
248	468	1413
249	470	1411
250	472	1409
251	474	1407
252	476	1405
253	477	1403
254	479	1401
255	481	1399
256	483	1398
257	485	1395
258	487	1393
259	488	1391
260	490	1389
261	492	1387
262	494	1384
263	496	1382
264	498	1381
265	500	1379
266	502	1378
267	504	1376
268	505	1374
269	507	1372
270	509	1370
271	511	1368
272	512	1366
273	515	1364
274	517	1363
275	518	1360
276	520	1358
277	522	1356
278	524	1354
279	526	1352
280	527	1350
281	529	1348
282	531	1347
283	533	1345
284	535	1343
285	537	1342
286	539	1339
287	541	1337
288	542	1335
289	544	1333
290	546	1331
291	548	1329
292	549	1327
293	551	1325
294	553	1322
295	555	1321
296	557	1318
297	559	1316
298	560	1314
299	562	1312
300	564	1311
301	566	1309
302	568	1306
303	569	1304
304	571	1302
305	573	1301
306	575	1299
307	577	1296
308	579	1294
309	581	1293
310	582	1291
311	584	1289
312	586	1287
313	588	1285
314	590	1284
315	592	1282
316	594	1280
317	596	1278
318	598	1276
319	599	1274
320	601	1272
321	603	1270
322	605	1269
323	607	1267
324	609	1264
325	610	1263
326	612	1261
327	614	1259
328	616	1257
329	618	1255
330	620	1254
331	622	1252
332	624	1250
333	625	1248
334	627	1246
335	629	1244
336	631	1242
337	633	1240
338	635	1238
339	636	1236
340	638	1234
341	640	1232
342	642	1230
343	644	1228
344	646	1227
345	648	1225
346	649	1223
347	651	1220
348	653	1218
349	655	1216
350	657	1214
351	659	1213
352	660	1211
353	663	1210
354	665	1208
355	666	1206
356	668	1204
357	670	1202
358	672	1200
359	673	1197
360	675	1195
361	677	1193
362	679	1192
363	680	1189
364	682	1187
365	684	1185
366	686	1183
367	688	1181
368	689	1179
369	691	1177
370	693	1175
371	695	1174
372	697	1172
373	699	1171
374	701	1168
375	703	1166
376	704	1164
377	706	1162
